date,url,headline,doc_type,material_type,section,keywords
2020-01-03,https://www.nytimes.com/2020/01/03/upshot/democrats-obamacare-supreme-court.html,Democrats Ask Supreme Court for Quick Decision on Obamacare,article,News,,"['Patient Protection and Affordable Care Act (2010)', 'United States Politics and Government', 'Health Insurance and Managed Care', 'Law and Legislation', 'Presidential Election of 2020']"
2020-01-03,https://www.nytimes.com/2020/01/03/opinion/iran-soleimani-revolutionary-guard.html,Suleimani’s Death Changes Nothing for Iran,article,Op-Ed,,"['Assassinations and Attempted Assassinations', 'Terrorism']"
2020-01-03,https://www.nytimes.com/2020/01/03/books/review/podcast-medieval-bodies-jack-hartnell-matt-dorfman.html,Medicine in the Middle Ages,article,News,,['Books and Literature']
2020-01-03,https://www.nytimes.com/2020/01/03/world/middleeast/iraq-iran-airstrike-al-muhandis.html,Airstrike That Killed Suleimani Also Killed Powerful Iraqi Militia Leader,article,News,,"['Targeted Killings', 'Defense and Military Forces', 'Iraq War (2003-11)', 'United States Defense and Military Forces', 'United States International Relations', 'Shiite Muslims']"
2020-01-03,https://www.nytimes.com/2020/01/03/world/canada/Bilefsky-profiles-decade.html,"A Hit Man, a Detective Novelist and a Woman Who Fell From the Sky",article,News,,[]
2020-01-03,https://www.nytimes.com/2020/01/03/world/middleeast/us-iran-war.html,Is There a Risk of Wider War With Iran?,article,News,,"['Defense and Military Forces', 'United States International Relations', 'United States Defense and Military Forces', 'United States Politics and Government', 'Targeted Killings']"
2020-01-03,https://www.nytimes.com/2020/01/03/sports/football/sam-wyche-dead.html,"Sam Wyche, Who Led Cincinnati to the Super Bowl, Dies at 74",article,Obituary (Obit),,"['Deaths (Obituaries)', 'Football', 'Coaches and Managers']"
2020-01-03,https://www.nytimes.com/slideshow/2020/01/03/fashion/new-years-eve-at-the-metropolitan-opera.html,New Year’s Eve at the Metropolitan Opera,multimedia,Slideshow,,[]
2020-01-03,https://www.nytimes.com/2020/01/03/style/divas-and-debutantes.html,Divas and Debutantes,article,News,,"['High Society and Socialites', 'Parties (Social)']"
2020-01-03,https://www.nytimes.com/2020/01/03/us/military-draft-world-war-3.html,Will There Be a Draft? Young People Worry After Military Strike,article,News,,"['Draft and Recruitment (Military)', 'United States Defense and Military Forces', 'United States Politics and Government', 'Men and Boys']"
2020-01-03,https://www.nytimes.com/2020/01/03/us/politics/trump-impeachment-senate-trial.html,"Impeachment Impasse Deepens in Senate, Leaving Trump’s Trial in Doubt",article,News,,"['United States Politics and Government', 'Trump-Ukraine Whistle-blower Complaint and Impeachment Inquiry', 'Constitution (US)', 'Impeachment']"
2020-01-03,https://www.nytimes.com/2020/01/03/movies/golden-globes-2020-date.html,How to Watch the Golden Globes on Sunday,article,News,,"['Television', 'Movies', 'Awards, Decorations and Honors', 'Golden Globes (Awards)']"
2020-01-03,https://www.nytimes.com/2020/01/03/sports/football/did-jason-garrett-get-fired.html,Jason Garrett Is Fired by Cowboys After Week of Uncertainty,article,News,,"['Football', 'Coaches and Managers']"
2020-01-03,https://www.nytimes.com/2020/01/03/opinion/letters/klobuchar-presidency.html,Amy Klobuchar’s ‘Doggedness and Diligence’,article,Letter,,"['Wages and Salaries', 'Ears and Hearing']"
2020-01-03,https://www.nytimes.com/interactive/2020/01/03/climate/australia-fires-air.html,Millions of Australians Are Choking on Smoke From Wildfires,multimedia,Interactive Feature,,"['Air Pollution', 'Global Warming']"
2020-01-03,https://www.nytimes.com/2020/01/03/opinion/letters/iran-united-states-conflict.html,Fears of War After Killing of Iranian General,article,Letter,,"['Impeachment', 'United States International Relations', 'Targeted Killings', 'United States Defense and Military Forces']"
2020-01-03,https://www.nytimes.com/2020/01/03/us/politics/phil-roe-retirement-congress.html,"Phil Roe, Tennessee Republican, Announces Retirement From Congress",article,News,,"['United States Politics and Government', 'Veterans', 'Presidential Election of 2020', 'September 11 (2001)']"
2020-01-03,https://www.nytimes.com/2020/01/03/arts/music/jack-sheldon-dead.html,"Jack Sheldon, Trumpeter and ‘Schoolhouse Rock!’ Singer, Is Dead at 88",article,Obituary (Obit),,"['Deaths (Obituaries)', 'Jazz', 'ACTORS AND ACTRESSES', 'Television']"
2020-01-03,https://www.nytimes.com/2020/01/03/reader-center/australia-wildfires-evacuation.html,How Have Australia’s Wildfires Affected You?,article,News,,['Wildfires']
2020-01-03,https://www.nytimes.com/2020/01/03/climate/trump-nepa-climate-change.html,Trump Rule Would Exclude Climate Change in Infrastructure Planning,article,News,,"['Global Warming', 'Environment', 'Greenhouse Gas Emissions', 'United States Politics and Government', 'Infrastructure (Public Works)', 'Labor and Jobs']"
2020-01-03,https://www.nytimes.com/2020/01/03/theater/new-york-musical-festival-ending.html,Curtain Goes Down on New York Musical Festival,article,News,,"['Theater', 'New York Musical Festival', 'Shutdowns (Institutional)', 'Bankruptcies']"
2020-01-03,https://www.nytimes.com/2020/01/03/arts/music/harry-kupfer-dead.html,"Harry Kupfer, Director and ‘Opera King of Berlin,’ Dies at 84",article,Obituary (Obit),,"['Deaths (Obituaries)', 'Opera', 'Bayreuth Wagner Festival']"
2020-01-03,https://www.nytimes.com/2020/01/03/briefing/qassem-soleimani-methodist-church-oscars.html,"Iraq, Methodist Church, Oscars: Your Friday Evening Briefing",article,briefing,,[]
2020-01-03,https://www.nytimes.com/2020/01/03/us/politics/dnc-debate-polls.html,D.N.C. Tells Pollsters to Do More Polls,article,News,,"['Polls and Public Opinion', 'Debates (Political)', 'Presidential Election of 2020']"
2020-01-03,https://www.nytimes.com/2020/01/03/business/carlos-ghosn-lebanon.html,"Carlos Ghosn, at Home but Waiting for the Next Move",article,News,,"['Extradition', 'Politics and Government', 'Corruption (Institutional)']"
2020-01-03,https://www.nytimes.com/2020/01/03/sports/basketball/giannis-antetokounmpo-milwaukee-bucks.html,Believe in Giannis Antetokounmpo. But the Milwaukee Bucks?,article,News,,['Basketball']
2020-01-03,https://www.nytimes.com/2020/01/03/nyregion/stolen-ebikes-food-delivery.html,They Once Were Attacked for Their Cash. Now It’s Their E-Bikes.,article,News,,"['Robberies and Thefts', 'Delivery Services', 'Restaurants', 'Bicycles and Bicycling', 'Motorcycles, Motor Bikes and Motorscooters']"
2020-01-03,https://www.nytimes.com/2020/01/03/science/dr-heather-ashton-dead.html,"Dr. Heather Ashton, 90, Dies; Helped People Quit Anxiety Drugs",article,Obituary (Obit),,"['Deaths (Obituaries)', 'Research', 'Drugs (Pharmaceuticals)', 'Addiction (Psychology)', 'Anxiety and Stress', 'Opioids and Opiates']"
2020-01-03,https://www.nytimes.com/2020/01/03/us/militia-border-migrants-guilty.html,Leader of Right-Wing Border Militia Pleads Guilty to Federal Gun Charge,article,News,,"['Illegal Immigration', 'Gun Control', 'Firearms', 'Fringe Groups and Movements', 'Immigration and Emigration']"
2020-01-04,https://www.nytimes.com/2020/01/03/world/middleeast/us-iraq.html,A Shocked Iraq Reconsiders Its Relationship With the U.S.,article,News,,"['United States International Relations', 'United States Defense and Military Forces', 'Targeted Killings', 'Demonstrations, Protests and Riots', 'Diplomatic Service, Embassies and Consulates']"
2020-01-04,https://www.nytimes.com/2020/01/03/us/politics/homeland-security-iran-threat.html,"Homeland Security Sees ‘No Specific, Credible Threat’ From Iran, but Warns of Cyberattacks",article,News,,"['Cyberwarfare and Defense', 'United States Politics and Government', 'Terrorism', 'Targeted Killings']"
2020-01-04,https://www.nytimes.com/2020/01/03/us/politics/trump-housing-segregation.html,Trump Pulls Back Efforts to Enforce Housing Desegregation,article,News,,"['Real Estate and Housing (Residential)', 'Discrimination', 'United States Politics and Government', 'Fair Housing Act (1968)', 'Segregation and Desegregation', 'Affordable Housing', 'Regulation and Deregulation of Industry']"
2020-01-04,https://www.nytimes.com/2020/01/03/us/politics/trump-ukraine-military-aid.html,White House Withholds 20 Emails Between Two Trump Aides on Ukraine Aid,article,News,,"['Impeachment', 'Freedom of Information Act', 'E-Mail', 'Trump-Ukraine Whistle-blower Complaint and Impeachment Inquiry', 'United States Politics and Government']"
2020-01-04,https://www.nytimes.com/2020/01/03/opinion/iran-airstrike.html,Suleimani Died as He Had Killed,article,Op-Ed,,"['Defense and Military Forces', 'United States International Relations', 'United States Defense and Military Forces', 'Targeted Killings']"
2020-01-04,https://www.nytimes.com/2020/01/03/opinion/iran-trump-suleimani.html,‘The Game Has Changed’,article,Editorial,,"['Defense and Military Forces', 'United States International Relations', 'United States Defense and Military Forces', 'Targeted Killings', 'Drones (Pilotless Planes)', 'Terrorism']"
2020-01-04,https://www.nytimes.com/2020/01/03/us/california-democratic-party-settlement-lawsuit.html,California Democratic Party Settles Sexual Misconduct Lawsuits,article,News,,"['Sexual Harassment', 'Suits and Litigation (Civil)', 'Workplace Environment', 'Discrimination']"
2020-01-04,https://www.nytimes.com/2020/01/03/us/politics/trump-miami-rally-evangelicals.html,"In Miami Speech, Trump Tells Evangelical Base: God Is ‘on Our Side’",article,News,,"['Presidential Election of 2020', 'Evangelical Movement', 'Christians and Christianity']"
2020-01-04,https://www.nytimes.com/2020/01/03/crosswords/daily-puzzle-2020-01-04.html,Hung (Over),article,News,,['Crossword Puzzles']
2020-01-04,https://www.nytimes.com/2020/01/03/world/australia/fires.html,Australia Fires Keep Spreading as Military Reservists Called Up,article,News,,"['Wildfires', 'Evacuations and Evacuees']"
2020-01-04,https://www.nytimes.com/2020/01/03/us/politics/pence-iran-factcheck.html,Pence Links Suleimani to 9/11. The Public Record Doesn’t Back Him.,article,News,,"['Terrorism', 'September 11 (2001)', 'United States Politics and Government', 'Targeted Killings']"
2020-01-04,https://www.nytimes.com/2020/01/03/opinion/iran-general-soleimani.html,Trump Kills Iran’s Most Overrated Warrior,article,Op-Ed,,"['Defense and Military Forces', 'United States International Relations', 'United States Defense and Military Forces', 'Targeted Killings']"
2020-01-04,https://www.nytimes.com/2020/01/04/todayspaper/quotation-of-the-day-pulling-the-trigger-on-a-target-who-didnt-hide.html,Quotation of the Day: Pulling the Trigger on a Target Who Didn’t Hide,article,Quote,,[]
2020-01-04,https://www.nytimes.com/2020/01/04/world/middleeast/pompeo-tweet-iraq-video.html,A Video Tweeted by Pompeo Was Authentic. His Description Was Misleading.,article,News,,"['Social Media', 'Targeted Killings', 'Video Recordings, Downloads and Streaming', 'United States Politics and Government', 'Propaganda', 'Rumors and Misinformation', 'United States International Relations', 'United States Defense and Military Forces']"
2020-01-04,https://www.nytimes.com/2020/01/04/arts/television/whats-on-tv-saturday-midsommar-and-dracula.html,What’s on TV Saturday: ‘Midsommar’ and ‘Dracula’,article,News,,"['Movies', 'Television']"
2020-01-04,https://www.nytimes.com/2020/01/04/your-money/investing-private-market-startups.html,Opening the Door to Unicorns Invites Risk for Average Investors,article,News,,"['Stocks and Bonds', 'Mutual Funds', 'Regulation and Deregulation of Industry', 'Private Equity', 'Personal Finances']"
2020-01-04,https://www.nytimes.com/2020/01/04/business/auto-sales-price.html,"Low Rates, Cheap Gas and Deeper Debt Sustain Car Buying Boom",article,News,,"['Automobiles', 'Prices (Fares, Fees and Rates)', 'United States Economy', 'Consumer Behavior', 'Credit and Debt', 'Automobile Financing', 'Inflation (Economics)']"
2020-01-04,https://www.nytimes.com/2020/01/04/briefing/11-of-our-best-weekend-reads.html,11 of Our Best Weekend Reads,article,News,,"['New Year', 'Defense and Military Forces']"
2020-01-04,https://www.nytimes.com/2020/01/04/world/europe/italy-ilva-arcelormittal-steel.html,Troubles at an Aging Steel Mill Mirror Italy’s Own,article,News,,"['Politics and Government', 'Labor and Jobs', 'Factories and Manufacturing', 'Hazardous and Toxic Substances', 'Steel and Iron']"
2020-01-04,https://www.nytimes.com/2020/01/04/us/politics/presidential-election-2020-race.html,"New Year, New Energy: This Week in the 2020 Race",article,News,,"['Presidential Election of 2020', 'Campaign Finance', 'United States Politics and Government', 'Primaries and Caucuses']"
2020-01-04,https://www.nytimes.com/2020/01/04/neediest-cases/neediest-cases-homeless-four-children.html,Looking Beyond Life in a Homeless Shelter With 4 Children,article,News,,[]
2020-01-04,https://www.nytimes.com/2020/01/04/us/tiktok-pentagon-military-ban.html,U.S. Military Branches Block Access to TikTok App Amid Pentagon Warning,article,News,,"['United States Defense and Military Forces', 'Mobile Applications', 'Espionage and Intelligence Services', 'Cyberwarfare and Defense', 'Computer Security', 'Smartphones', 'United States Politics and Government']"
2020-01-04,https://www.nytimes.com/2020/01/04/reader-center/new-years-times-square-photos.html,3 … 2 … 1. Then Their Real Countdown Began.,article,News,,"['Photography', 'New Year']"
2020-01-04,https://www.nytimes.com/2020/01/04/style/chani-nicholas-astrologer.html,Your Favorite Internet Astrologer Wrote a Book,article,News,,"['Astrology', 'your-feed-selfcare']"
2020-01-04,https://www.nytimes.com/2020/01/04/business/sweetgreen-salads.html,"In a Burger World, Can Sweetgreen Scale Up?",article,News,,"['Restaurants', 'Salads']"
2020-01-04,https://www.nytimes.com/2020/01/04/travel/flying-with-pets-gear.html,6 Must-Haves When Flying With a Cat or Dog,article,News,,"['Travel and Vacations', 'AIRLINES AND AIRPLANES', 'Cats', 'Dogs']"
2020-01-04,https://www.nytimes.com/2020/01/04/style/self-care/hydrate-hydrate-hydrate.html,Everyone’s Resolution Is to Drink More Water in 2020,article,News,,"['Water', 'Beverages', 'Skin', 'Diet and Nutrition', 'your-feed-selfcare']"
2020-01-04,https://www.nytimes.com/2020/01/04/us/ts-eliot-emily-hale-letters.html,The Love Letters of T.S. Eliot: New Clues Into His Most Mysterious Relationship,article,News,,"['Letters', 'Poetry and Poets', 'Colleges and Universities', 'Love (Emotion)', 'Books and Literature']"
2020-01-04,https://www.nytimes.com/2020/01/04/style/they-all-said-yes.html,They All Said Yes,article,News,,"['Marriages', 'Love (Emotion)']"
2020-01-04,https://www.nytimes.com/2020/01/04/sports/soccer/how-to-buy-say-youll-sell.html,How to Buy? Say You’ll Sell.,article,News,,['Soccer']
2020-01-04,https://www.nytimes.com/2020/01/04/style/january-divorce-month.html,‘Divorce Month’ Fact or Fiction: Do More Couples Split in January?,article,News,,"['Divorce, Separations and Annulments', 'New Year', 'Social Conditions and Trends', 'Seasons and Months']"
2020-01-04,https://www.nytimes.com/2020/01/04/world/middleeast/iraq-funeral-general-soleimani-al-muhandis.html,Cries of ‘Revenge Is Coming’ at Funerals for Slain Commanders in Iraq,article,News,,"['Targeted Killings', 'Funerals and Memorials', 'Defense and Military Forces', 'Drones (Pilotless Planes)', 'International Relations', 'United States Defense and Military Forces', 'United States International Relations']"
2020-01-04,https://www.nytimes.com/2020/01/04/well/move/how-to-deal-with-january-crowds-at-the-gym.html,How to Deal With January Crowds at the Gym,article,News,,"['Exercise', 'Health Clubs']"
2020-01-04,https://www.nytimes.com/2020/01/04/world/asia/china-hong-kong-wang-zhimin.html,China Replaces Its Top Representative in Hong Kong With an Enforcer,article,News,,"['Politics and Government', 'Appointments and Executive Changes', 'Hong Kong Protests (2019)']"
2020-01-04,https://www.nytimes.com/2020/01/04/movies/ricky-gervais-golden-globes-host.html,"Ricky Gervais at the Golden Globes: Laughs, Gasps and Cringes",article,News,,"['Golden Globes (Awards)', 'Movies', 'Television']"
2020-01-04,https://www.nytimes.com/2020/01/04/admin/make-mushroom-bourguignon-this-weekend.html,Make Mushroom Bourguignon This Weekend,article,News,,[]
2020-01-04,https://www.nytimes.com/slideshow/2020/01/04/fashion/runway-mens/jordanluca-fall-2020.html,Jordanluca: Fall 2020,multimedia,Slideshow,,"['Fashion and Apparel', 'London Fashion Week']"
2020-01-04,https://www.nytimes.com/2020/01/04/realestate/does-the-buyer-have-to-pay-if-the-seller-walks-away.html,Does the Buyer Have to Pay if the Seller Walks Away?,article,News,,"['Real Estate and Housing (Residential)', 'Cooperatives', 'Prices (Fares, Fees and Rates)']"
2020-01-04,https://www.nytimes.com/2020/01/04/world/australia/fires-military.html,‘It’s an Atomic Bomb’: Australia Deploys Military as Fires Spread,article,News,,"['Wildfires', 'Evacuations and Evacuees', 'Deaths (Fatalities)', 'ANIMALS', 'Fires and Firefighters', 'Politics and Government']"
2020-01-04,https://www.nytimes.com/2020/01/04/opinion/trump-soleimani-strike.html,American Foreign Policy Is Broken. Suleimani’s Killing Proves It.,article,Op-Ed,,"['United States International Relations', 'United States Defense and Military Forces', 'United States Politics and Government', 'Targeted Killings', 'Defense and Military Forces']"
2020-01-04,https://www.nytimes.com/2020/01/04/us/politics/jared-golden-impeachment-maine.html,"With Split Decision on Impeachment, Maine Democrat Risks a Dual Backlash",article,News,,"['Impeachment', 'United States Politics and Government', 'Trump-Ukraine Whistle-blower Complaint and Impeachment Inquiry', 'Polls and Public Opinion']"
2020-01-04,https://www.nytimes.com/2020/01/04/us/iran-iranians-soleimani-los-angeles.html,Iranians in Los Angeles Shed Few Tears for Suleimani. But What Comes Next?,article,News,,"['Iranian-Americans', 'Immigration and Emigration', 'Assassinations and Attempted Assassinations', 'Targeted Killings']"
2020-01-04,https://www.nytimes.com/slideshow/2020/01/04/fashion/runway-mens/edward-crutchley-fall-2020.html,Edward Crutchley: Fall 2020,multimedia,Slideshow,,"['London Fashion Week', 'Fashion and Apparel']"
2020-01-04,https://www.nytimes.com/2020/01/04/arts/rod-sean-stewart-nye-battery.html,Rod Stewart and Son Face Battery Charges After New Year’s Eve Altercation,article,News,,"['Assaults', 'Guards', 'Hotels and Travel Lodgings', 'Pop and Rock Music']"
2020-01-04,https://www.nytimes.com/2020/01/04/crosswords/variety-acrostic.html,Variety: Acrostic,article,News,,[]
2020-01-04,https://www.nytimes.com/2020/01/04/world/middleeast/women-talmud-study.html,"A Revolution in Jewish Learning, With Women Driving Change",article,News,,"['Jews and Judaism', 'Women and Girls', 'Talmud', 'Social Media', 'Rabbis', 'Podcasts']"
2020-01-04,https://www.nytimes.com/2020/01/04/world/middleeast/qassim-suleimani-deter-iran.html,"Did the Killing of Qassim Suleimani Deter Iranian Attacks, or Encourage Them?",article,News Analysis,,"['Defense and Military Forces', 'United States Defense and Military Forces', 'United States International Relations', 'Targeted Killings', 'Terrorism']"
2020-01-04,https://www.nytimes.com/2020/01/04/us/politics/dennis-prager-university.html,"Right-Wing Views for Generation Z, Five Minutes at a Time",article,News,,"['Conservatism (US Politics)', 'Video Recordings, Downloads and Streaming', 'Generation Z', 'Millennial Generation']"
2020-01-04,https://www.nytimes.com/2020/01/04/world/americas/trump-iran.html,"In Era of Perpetual Conflict, a Volatile President Grabs Expanded Powers to Make War",article,News Analysis,,"['War and Emergency Powers (US)', 'United States Defense and Military Forces', 'United States International Relations', 'United States Politics and Government', 'Targeted Killings', 'Defense and Military Forces']"
2020-01-04,https://www.nytimes.com/2020/01/04/us/deer-hunter-daughter-shot.html,"Father and Daughter, Mistaken for Deer, Are Fatally Shot, Officials Say",article,News,,"['Deer', 'Hunting and Trapping', 'Accidents and Safety', 'Deaths (Fatalities)']"
2020-01-04,https://www.nytimes.com/video/world/middleeast/100000006903788/tens-of-thousands-mourn-suleimani.html,Tens of Thousands Mourn Suleimani,multimedia,Video,,"['Politics and Government', 'Drones (Pilotless Planes)', 'United States International Relations', 'Demonstrations, Protests and Riots']"
2020-01-04,https://www.nytimes.com/2020/01/04/world/middleeast/iran-suleimani-killing.html,Iranians Close Ranks Behind Leaders After U.S. Kills Popular General,article,News,,"['Politics and Government', 'Defense and Military Forces', 'United States International Relations', 'United States Defense and Military Forces', 'Targeted Killings', 'Embargoes and Sanctions', 'Terrorism']"
2020-01-04,https://www.nytimes.com/2020/01/04/us/fort-bragg-iran-military.html,Tensions Abroad Stir a Whirlwind at Fort Bragg as Soldiers Deploy,article,News,,"['United States Defense and Military Forces', 'United States International Relations', 'United States Politics and Government', 'Targeted Killings']"
2020-01-04,https://www.nytimes.com/2020/01/04/us/dartmouth-lawsuit-bucci.html,He Was Accused of Enabling Abuse. Then Came a Downward Spiral.,article,News,,"['Sexual Harassment', 'Suits and Litigation (Civil)', 'Colleges and Universities', 'Suicides and Suicide Attempts', '#MeToo Movement']"
2020-01-04,https://www.nytimes.com/2020/01/04/world/middleeast/conflict-with-iran-threatens-fight-against-isis.html,Conflict With Iran Threatens Fight Against ISIS,article,News,,"['Targeted Killings', 'United States Defense and Military Forces', 'Terrorism', 'United States International Relations', 'Defense and Military Forces']"
2020-01-04,https://www.nytimes.com/slideshow/2020/01/04/fashion/runway-mens/e-tautz-fall-2020.html,E. Tautz: Fall 2020,multimedia,Slideshow,,['London Fashion Week']
2020-01-04,https://www.nytimes.com/2020/01/04/sports/lonzo-ball-lakers-pelicans.html,"Lonzo Ball Finds His Shot, and a Fresh Start, in New Orleans",article,News,,['Basketball']
2020-01-04,https://www.nytimes.com/2020/01/04/opinion/trump-suleimani-iran.html,The Dire Consequences of Trump’s Suleimani Decision,article,Op-Ed,,"['United States Defense and Military Forces', 'United States International Relations', 'Targeted Killings', 'United States Politics and Government']"
2020-01-04,https://www.nytimes.com/2020/01/04/world/asia/india-protests-modi-citizenship.html,"Muslims Organize Huge Protests Across India, Challenging Modi",article,News,,"['Demonstrations, Protests and Riots', 'Freedom of Religion', 'Citizenship and Naturalization']"
2020-01-04,https://www.nytimes.com/2020/01/04/us/politics/white-house-war-powers-resolution.html,White House Notifies Congress of Suleimani Strike Under War Powers Act,article,News,,"['War and Emergency Powers (US)', 'War Powers Act (1973)', 'United States Politics and Government', 'United States Defense and Military Forces', 'Targeted Killings']"
2020-01-04,https://www.nytimes.com/2020/01/04/opinion/impeachment-witnesses.html,"Mr. McConnell, It’s Time to Hear From John Bolton",article,Editorial,,"['Impeachment', 'Trump-Ukraine Whistle-blower Complaint and Impeachment Inquiry', 'United States Politics and Government', 'Russian Interference in 2016 US Elections and Ties to Trump Associates', 'Corruption (Institutional)']"
2020-01-04,https://www.nytimes.com/2020/01/04/us/iran-anti-war-protests.html,Antiwar Protesters Across U.S. Condemn Killing of Suleimani,article,News,,"['Targeted Killings', 'Demonstrations, Protests and Riots', 'United States Defense and Military Forces', 'United States Politics and Government', 'United States International Relations']"
2020-01-04,https://www.nytimes.com/2020/01/04/world/middleeast/libya-airstrike.html,Deadly Airstrike in Libya Wreaks Havoc at Military Academy,article,News,,['Defense and Military Forces']
2020-01-04,https://www.nytimes.com/2020/01/04/crosswords/daily-puzzle-2020-01-05.html,Stressed Out,article,News,,['Crossword Puzzles']
2020-01-04,https://www.nytimes.com/2020/01/04/us/giichi-matsumura-remains-manzanar-internment.html,Remains Found on California Mountain Belonged to Manzanar Detainee,article,News,,"['Hikes and Hiking', 'World War II (1939-45)', 'Japanese-Americans']"
2020-01-04,https://www.nytimes.com/2020/01/04/us/military-families-stolen-truck.html,"Moving Truck With Possessions of 3 Military Families Stolen on Christmas, Police Say",article,News,,"['Moving and Moving Industry', 'United States Defense and Military Forces', 'Robberies and Thefts']"
2020-01-05,https://www.nytimes.com/2020/01/04/sports/basketball/nets-kyrie-irving-shoulder-injury-surgery.html,Kyrie Irving Says He May Need Shoulder Surgery,article,News,,[]
2020-01-05,https://www.nytimes.com/2020/01/04/us/politics/trump-suleimani.html,"As Tensions With Iran Escalated, Trump Opted for Most Extreme Measure",article,News,,"['Defense and Military Forces', 'United States International Relations', 'United States Defense and Military Forces', 'United States Politics and Government', 'Targeted Killings', 'Diplomatic Service, Embassies and Consulates', 'Terrorism']"
2020-01-05,https://www.nytimes.com/2020/01/04/business/economy/low-interest-rates-ben-bernanke.html,Low Interest Rates Worry the Fed. Ben Bernanke Has Some Ideas.,article,News,,"['Interest Rates', 'Inflation (Economics)', 'Unemployment', 'Recession and Depression', 'United States Economy']"
2020-01-05,https://www.nytimes.com/2020/01/04/arts/television/surviving-r-kelly-2.html,‘Surviving R. Kelly’ Recap: The Year Everything Changed,article,News,,"['Television', 'Sex Crimes', 'Child Abuse and Neglect', 'RHYTHM AND BLUES (MUSIC)', 'Documentary Films and Programs']"
2020-01-05,https://www.nytimes.com/2020/01/04/todayspaper/quotation-of-the-day-more-powers-few-limits-and-a-volatile-president.html,"Quotation of the Day: More Powers, Few Limits and a Volatile President",article,Quote,,[]
2020-01-05,https://www.nytimes.com/2020/01/04/sports/football/patriots-titans-upset-brady.html,Tom Brady and the Patriots Are Upset by the Titans in a Stunner,article,News,,"['Football', 'Playoff Games']"
2020-01-05,https://www.nytimes.com/2020/01/04/opinion/editorials/trump-iran-threats-Suleimani.html,"Congress, Stop President Trump’s Rush to War With Iran",article,Editorial,,"['Defense and Military Forces', 'United States Defense and Military Forces', 'United States Politics and Government', 'United States International Relations', 'Targeted Killings']"
2020-01-05,https://www.nytimes.com/2020/01/04/sports/football/russell-wilson-nfl-playoffs-2019.html,The Unbearable Lightness of Being Russell Wilson,article,News,,"['Football', 'Black People', 'Blacks', 'Race and Ethnicity', 'Playoff Games']"
2020-01-05,https://www.nytimes.com/2020/01/04/world/australia/fires-scott-morrison.html,"As Fires Rage, Australia Sees Its Leader as Missing in Action",article,News Analysis,,"['Politics and Government', 'Fires and Firefighters', 'Greenhouse Gas Emissions', 'Coal', 'Global Warming']"
2020-01-05,https://www.nytimes.com/2020/01/05/fashion/weddings/candace-vickery-kimberly-rose.html,"Candace Vickery, Kimberly Rose",article,News,,['Weddings and Engagements']
2020-01-05,https://www.nytimes.com/2020/01/05/fashion/weddings/michelle-yampolsky-matthew-gomez.html,"Michelle Yampolsky, Matthew Gomez",article,News,,['Weddings and Engagements']
2020-01-05,https://www.nytimes.com/2020/01/05/fashion/weddings/talia-sukol-andrew-karas.html,"Talia Sukol, Andrew Karas",article,News,,['Weddings and Engagements']
2020-01-05,https://www.nytimes.com/2020/01/05/fashion/weddings/hilary-rogers-jeffrey-mauro.html,"Hilary Rogers, Jeffrey Mauro",article,News,,['Weddings and Engagements']
2020-01-05,https://www.nytimes.com/2020/01/05/fashion/weddings/zoe-harris-simon-lazarre-bloom.html,"Zoë Harris, Simon Lazarre-Bloom",article,News,,['Weddings and Engagements']
2020-01-05,https://www.nytimes.com/2020/01/05/fashion/weddings/supriya-menon-steven-lesser.html,"Supriya Menon, Steven Lesser",article,News,,['Weddings and Engagements']
2020-01-05,https://www.nytimes.com/2020/01/05/fashion/weddings/erin-mills-mark-haslinger-jr.html,"Erin Mills, Mark Haslinger Jr.",article,News,,['Weddings and Engagements']
2020-01-05,https://www.nytimes.com/2020/01/05/fashion/weddings/maggie-kiselick-brendan-milnamow.html,"Maggie Kiselick, Brendan Milnamow",article,News,,['Weddings and Engagements']
2020-01-05,https://www.nytimes.com/2020/01/05/fashion/weddings/pekham-pal-nicholas-santangelo.html,"Pekham Pal, Nicholas Santangelo",article,News,,['Weddings and Engagements']
2020-01-05,https://www.nytimes.com/2020/01/05/fashion/weddings/remy-gordon-jared-chariton.html,"Remy Gordon, Jared Chariton",article,News,,['Weddings and Engagements']
2020-01-05,https://www.nytimes.com/2020/01/05/fashion/weddings/brittany-rae-gregory-franklin-rivers-iii.html,"Brittany-Rae Gregory, Franklin Rivers III",article,News,,['Weddings and Engagements']
2020-01-05,https://www.nytimes.com/2020/01/05/fashion/weddings/christie-lee-aaron-applbaum.html,"Christie Lee, Aaron Applbaum",article,News,,['Weddings and Engagements']
2020-01-05,https://www.nytimes.com/2020/01/05/pageoneplus/corrections-jan-5-2020.html,"Corrections: Jan. 5, 2020",article,Correction,,[]
2020-01-05,https://www.nytimes.com/2020/01/05/arts/television/whats-on-tv-sunday-the-golden-globe-awards-and-tolkien.html,What’s on TV Sunday: The Golden Globe Awards and ‘Tolkien’,article,News,,"['Movies', 'Television']"
2020-01-05,https://www.nytimes.com/2020/01/05/world/africa/al-shabab-camp-simba-kenya.html,3 Americans Die in Shabab Attack on Kenyan Base,article,News,,"['Terrorism', 'Defense and Military Forces', 'Military Bases and Installations', 'United States Defense and Military Forces']"
